9271-8	10M Apgar Score
10925-6	Chub Mackerel IgE Qn
15828-7	Chub Mackerel IgE RAST Ql
33009-2	Chylo Fld Ql
49131-6	Chylo MFr SerPl
33375-7	Chylo Plr Ql
2121-2	Chylo SerPl Ql
14648-0	Chylo SerPl-sCnc
6074-9	Chymopapain IgE Qn
15640-6	Chymopapain IgE RAST Ql
25375-7	Chymotryp Stl-cCnt
49766-9	Chymotryp Stl Ql
15037-5	Chymotryp Stl-sCnt
16650-4	Cilantro IgE Qn
21220-9	Cilantro IgE RAST Ql
14649-8	Cimetidine Gast Ql
3482-7	Cimetidine SerPl-mCnc
3483-5	Cimetidine Ur Ql
5096-3	C immitis Ab Titr Ser CF
13947-7	C immitis IgG Ser Ql IA
13948-5	C immitis IgM Ser Ql IA
6837-9	Cinnamon IgE Qn
15641-4	Cinnamon IgE RAST Ql
55656-3	Cinoxacin Islt Grad strip
182-6	Cinoxacin Islt KB
181-8	Cinoxacin Islt MIC
180-0	Cinoxacin Islt MLC
18905-0	Cinoxacin Susc Islt
183-4	Cinoxacin Titr SBT
55194-5	Ciprofloxacin 1 ug/mL Islt SlowMyco
25180-1	Ciprofloxacin 2 ug/mL Islt SlowMyco
25181-9	Ciprofloxacin 4 ug/mL Islt SlowMyco
25189-2	Ciprofloxacin 5 ug/mL Islt SlowMyco
25188-4	Ciprofloxacin 8 ug/mL Islt SlowMyco
34636-1	Ciprofloxacin CSF-mCnc
4186-3	Ciprofloxacin Dose
7002-9	Ciprofloxacin Islt Grad strip
186-7	Ciprofloxacin Islt KB
185-9	Ciprofloxacin Islt MIC
184-2	Ciprofloxacin Islt MLC
20377-8	Ciprofloxacin Islt SlowMyco
14031-9	Ciprofloxacin Peak SerPl-mCnc
3484-3	Ciprofloxacin SerPl-mCnc
25248-6	Ciprofloxacin Spec-mCnc
18906-8	Ciprofloxacin Susc Islt
187-5	Ciprofloxacin Titr SBT
14032-7	Ciprofloxacin Trough SerPl-mCnc
25589-3	Citalopram SerPl-sCnc
57337-8	Citrate 12h Ur-mCnc
25876-4	Citrate 24h Ur-sCnc
14650-6	Citrate 24h Ur-sRate
57338-6	Citrate 2h Ur-mCnc
29527-9	Citrate/Creat Ur-sRto
15038-3	Citrate SerPl-sCnc
2126-1	Citrate Smn-mCnc
10567-6	Citrate Smn-sCnc
2128-7	Citrate Ur-mCnc
34266-7	Citrate Ur-sCnc
93403-4	Citrobac sp DNA Bld Pos Ql NAA+probe
97613-4	Citrobac sp DNA Snv Ql NAA+non-probe
88254-8	Citrobac sp ompA+mrkC Bld Pos Ql Probe
25376-5	Citrulline 24h Ur-sRate
26745-0	Citrulline Amn-sCnc
56676-0	Citrulline/Creat 24h Ur-Rto
25878-0	Citrulline/Creat 24h Ur-sRto
30161-4	Citrulline/Creat Ur-Rto
22654-8	Citrulline CSF-sCnc
42892-0	Citrulline DBS-sCnc
2129-5	Citrulline SerPl Ql
20640-9	Citrulline SerPl-sCnc
22722-3	Citrulline Spec-sCnc
27056-1	Citrulline Ur-sCnc
51528-8	Citrus mix IgE Ql
94653-3	City of trav
100867-1	C jej+coli+lari+upsa Ag Stl Ql IA.rapid
31279-3	C jejuni Ab Ser-aCnc
26818-5	C jejuni Ab Ser IA-aCnc
9655-2	C jejuni Ab Titr Ser
25364-1	C jejuni Ab Titr Ser CF
57768-4	C jejuni+C coli Ag Stl Ql
61368-7	C jejuni DNA Spec Ql NAA+probe
45325-8	C jejuni IgG Titr Ser
68928-1	CK 19 CSF-mCnc
48163-0	CK 19 Fld-mCnc
68929-9	CK 19 Pcar-mCnc
19183-3	CK 19 Plr-aCnc
68938-0	CK 19 Plr-mCnc
68927-3	CK 19 Prt-mCnc
19182-5	CK 19 SerPl-aCnc
25390-6	CK 19 SerPl-mCnc
56787-5	CK 19 Ur-aCnc
2156-8	CK Amn-cCnc
9642-0	CK BB CFr SerPl
15048-2	CK BB CFr SerPl Elph
50757-4	CK/CK MB Bld-cRto
2158-4	CK/CK MB SerPl-cRto
16688-4	CK Fld-cCnc
14680-3	CK Isos SerPl Elph-Imp
5912-1	CK Isos SerPl-Imp
26019-0	CK Macro1 CFr SerPl
2153-5	CK Macro SerPl-cCnc
49551-5	CK MB Bld-mCnc
20569-0	CK MB CFr SerPl
12187-1	CK MB CFr SerPl Elph
32673-6	CK MB SerPl-cCnc
2154-3	CK MB SerPl Elph-cCnc
83092-7	CK MB SerPl IA-mCnc
13969-1	CK MB SerPl-mCnc
49136-5	CK MB SerPl-Rto
49129-0	CK MiMi CFr SerPl
9643-8	CK MM CFr SerPl
51507-2	CK MM CSF Elph-cCnc
2155-0	CK MM SerPl Elph-cCnc
99015-0	C koseri DNA Ur Ql NAA+probe
2157-6	CK SerPl-cCnc
43691-5	Cladosporium IgE Ql
43056-1	Cladosporium IgG Ser Ql
34267-5	Cladosporium IgG Ser Ql ID
39090-6	Clam IgE/IgE total %
6076-4	Clam IgE Qn
15643-0	Clam IgE RAST Ql
7232-2	Clam IgG Qn
21204-3	Clam IgG RAST Ql
43987-7	Clarithro 12 ug/mL Islt SlowMyco
25191-8	Clarithro 16 ug/mL Islt SlowMyco
25192-6	Clarithro 32 ug/mL Islt SlowMyco
43990-1	Clarithro 3 ug/mL Islt SlowMyco
43991-9	Clarithro 6 ug/mL Islt SlowMyco
25190-0	Clarithro 8 ug/mL Islt SlowMyco
16620-7	Clarithro+Ethamb Islt MIC
100048-8	Clarithro+Ethamb Susc Islt
89485-7	Clarithro Islt Genotyp
7003-7	Clarithro Islt Grad strip
190-9	Clarithro Islt KB
189-1	Clarithro Islt MIC
188-3	Clarithro Islt MLC
20375-2	Clarithro Islt SlowMyco
18907-6	Clarithro Susc Islt
191-7	Clarithro Titr SBT
32167-9	Clarity Ur
41685-9	Clavulanate Islt Grad strip
41686-7	Clavulanate Islt KB
41687-5	Clavulanate Islt MIC
41733-7	Clavulanate Susc Islt
35785-5	Clinafloxacin Islt KB
35786-3	Clinafloxacin Islt MIC
4189-7	Clindamycin Dose
55658-9	Clindamycin.high potency Islt Grad strip
55659-7	Clindamycin.high potency Islt KB
55660-5	Clindamycin.high potency Islt MIC
55657-1	Clindamycin.high potency Susc Islt
42894-6	Clindamycin IgE Qn
42720-3	Clindamycin.induced Islt KB
61188-9	Clindamycin.induced Susc Islt
7005-2	Clindamycin Islt Grad strip
194-1	Clindamycin Islt KB
193-3	Clindamycin Islt MIC
192-5	Clindamycin Islt MLC
3486-8	Clindamycin SerPl-mCnc
18908-4	Clindamycin Susc Islt
195-8	Clindamycin Titr SBT
52948-7	cloBAZam Gast Ql
52964-4	cloBAZam Gast-sCnc
14651-4	cloBAZam SerPl-sCnc
12374-5	cloBAZam Ur-mCnc
52959-4	cloBAZam Ur Ql
43988-5	Clofazamine 0.5 ug/mL Islt SlowMyco
43989-3	Clofazamine 1 ug/mL Islt SlowMyco
43986-9	Clofazamine 2 ug/mL Islt SlowMyco
96108-6	Clofazamine Islt Genotyp
55662-1	Clofazamine Islt Grad strip
55661-3	Clofazamine Islt KB
16623-1	Clofazamine Islt MIC
20376-0	Clofazamine Islt SlowMyco
23627-3	Clofazamine Susc Islt
3493-4	clomiPRAMINE+Nor SerPl-mCnc
14654-8	clomiPRAMINE+Nor SerPl-sCnc
14652-2	clomiPRAMINE SerPl-sCnc
29399-3	clonazePAM Gast-mCnc
52965-1	clonazePAM Gast Ql
3494-2	clonazePAM SerPl-mCnc
14655-5	clonazePAM SerPl-sCnc
19402-7	clonazePAM Ur-mCnc
3498-3	Clorazepate SerPl-mCnc
13551-7	Clorazepate SerPl Ql
24472-3	Closure Tme Coll+ADP Bld
24471-5	Closure Tme Coll+Epinep Bld
52789-5	Clot init Bld TEG
33524-0	Clot Lysis Cont PPP
3244-1	Clot Lysis PPP
40454-1	Clot Lysis PPP Ql
3245-8	Clot Retract Bld
54177-1	Clotrimazole Islt KB
10653-4	Clotrimazole Islt MIC
41293-2	Clot Spec Ql
3183-1	Clotting time Bld Lee White
7234-8	Clove IgE Qn
15644-8	Clove IgE RAST Ql
21205-0	Clove IgG RAST Ql
7236-3	Clover IgE Qn
15645-5	Clover IgE RAST Ql
55664-7	Cloxacillin Islt Grad strip
198-2	Cloxacillin Islt KB
197-4	Cloxacillin Islt MIC
196-6	Cloxacillin Islt MLC
18910-0	Cloxacillin Susc Islt
199-0	Cloxacillin Titr SBT
32608-2	cloZAPine Dose
6896-5	cloZAPine SerPl-mCnc
14656-3	cloZAPine SerPl-sCnc
50844-0	cloZAPine Ur-sCnc
44241-8	Clue Cells Vag LPF-#/area
20502-1	Clue Cells Vag Ql Wet Prep
39598-8	C lunata IgE/IgE total %
6094-7	C lunata IgE Qn
15669-5	C lunata IgE RAST Ql
18409-3	C lunata IgG Qn
16713-0	CMV Ab CSF-aCnc
7851-9	CMV Ab SerPl-aCnc
5122-7	CMV Ab SerPl IF-aCnc
22239-8	CMV Ab SerPl Ql
15377-5	CMV Ab Ser Ql LA
22240-6	CMV Ab Titr CSF
9513-3	CMV Ab Titr Ser CF
22241-4	CMV Ab Titr SerPl
16718-9	CMV Ag Bld Ql
31795-8	CMV Ag SerPl Ql
6376-8	CMV Ag SerPl Ql IA
6377-6	CMV Ag SerPl Ql IF
6381-8	CMV Ag Spec Ql IF
31796-6	CMV Ag Ur Ql
34201-4	CMV Amn Ql Cult
5835-4	CMV Bld Ql Cult
32675-1	CMV Bronch Ql Cult
34719-5	CMV DNA Amn Ql NAA+probe
29604-6	CMV DNA # Bld NAA+probe
4996-5	CMV DNA Bld Ql NAA+probe
28008-1	CMV DNA Bld Ql Probe+sig amp
30326-3	CMV DNA CSF Ql NAA+probe
88535-0	CMV DNA DBS Ql NAA+probe
30246-3	CMV DNA SerPl Ql NAA+probe
33006-8	CMV DNA # Spec NAA+probe
34720-3	CMV DNA Spec NAA+probe-aCnc
53763-9	CMV DNA Spec NAA+probe-Log#
24041-6	CMV DNA Spec Probe+sig amp-aCnc
5000-5	CMV DNA Spec Ql NAA+probe
49351-0	CMV DNA # Tiss NAA+probe
4998-1	CMV DNA Tiss Ql NAA+probe
49347-8	CMV DNA # Ur NAA+probe
33616-4	CMV EA Ag Ur Ql
45286-2	CMV IgA Fld Ql
52984-2	CMV IgG Avidity SerPl IA-Rto
22243-0	CMV IgG CSF-aCnc
50018-1	CMV IgG Fld Ql
34944-9	CMV IgG+IgM Pnl CSF
24315-4	CMV IgG+IgM Pnl SerPl
47307-4	CMV IgG Index Ser+CSF-aCnc
7852-7	CMV IgG SerPl-aCnc
5124-3	CMV IgG SerPl IA-aCnc
16715-5	CMV IgG SerPl IF-aCnc
20475-0	CMV IgG SerPl-Imp
22244-8	CMV IgG SerPl Ql
13949-3	CMV IgG SerPl Ql IA
16716-3	CMV IgG sp2 SerPl IA-aCnc
22245-5	CMV IgG Titr CSF
22246-3	CMV IgG Titr SerPl
13226-6	CMV IgM CSF-aCnc
7853-5	CMV IgM SerPl-aCnc
5126-8	CMV IgM SerPl IA-aCnc
30325-5	CMV IgM SerPl Ql
24119-0	CMV IgM SerPl Ql IA
49539-0	CMV IgM SerPl Ql IF
22248-9	CMV IgM Titr CSF
5838-8	CMV Spec Ql Cult
5836-2	CMV Tiss Ql Cult
33632-1	CMV UL54+UL97 Gen Mut Det Islt
5837-0	CMV Ur Ql Cult
7842-8	C neoform Ab Ser-aCnc
6369-3	C neoform Ab Titr Ser Aggl
4995-7	C neoform rRNA Spec Ql Probe
38377-8	C neoform Spec Ql Cult
96827-1	CNS Score SOFA
41647-9	CO2 BldA Calc-sCnc
2026-3	CO2 BldA-sCnc
34728-6	CO2 Bld Calc-sCnc
51781-3	CO2 BldC Calc-sCnc
57921-9	CO2 BldCoA Calc-sCnc
34520-7	CO2 BldCo-sCnc
39465-0	CO2 BldCoV-sCnc
16551-4	CO2 BldC-sCnc
20565-8	CO2 Bld-sCnc
2027-1	CO2 BldV-sCnc
14640-7	CO2 Dial fld-sCnc
11211-0	CO2 Fld-sCnc
2028-9	CO2 SerPl-sCnc
38253-1	CO2 Spec-sCnc
14040-0	CO2 Stl-sCnc
13538-4	CO2 Ur-sCnc
96824-8	Coag Score SOFA
18313-7	Coag Smn Ql Visual
33393-0	Coarse Gran Casts #/area UrnS LPF
32175-2	Coarse Gran Casts UrnS Ql Micro
29916-4	Cobalt 24h Ur-mRate
52933-9	Cobalt/Creat 24h Ur-sRto
50845-7	Cobalt Hair-sCnt
25378-1	Cobalt SerPl-sCnc
50846-5	Cobalt Tiss-sCnt
34268-3	Cobalt Ur-sCnc
31137-3	Cocaine Bifl-mCnc
16633-0	Cocaine Bld Ql
29323-3	Cocaine Gast-mCnc
38384-4	Cocaine Gast Ql
34715-3	Cocaine Hair Ql Scn
3396-9	Cocaine SerPl-mCnc
3395-1	Cocaine SerPl Ql
8190-1	Cocaine SerPl Ql Cfm
8191-9	Cocaine SerPl Ql Scn
57898-9	Cocaine Spec-sCnc
26758-3	Cocaine Stl-mCnt
20519-5	Cocaine Ur Cfm-mCnc
3398-5	Cocaine Ur-mCnc
3397-7	Cocaine Ur Ql
19359-9	Cocaine Ur Ql Scn
52953-7	Cocaine Ur-sCnc
10655-9	Coccidia Duod fl Acid fast Stn
10656-7	Coccidia Stl Acid fast Stn
49190-2	Coccidioides Ab Fld Ql
48394-1	Coccidioides Ab Fld Ql ID
33381-5	Coccidioides Ab Ser-aCnc
26625-4	Coccidioides Ab Ser Ql
31153-0	Coccidioides Ab Spec Ql ID
51788-8	Coccidioides Ab Titr Ser ID
43849-9	Coccidioides IgG Ser Ql IA
41156-1	Coccidioides IgG Spec Ql
46183-0	Coccidioides IgM Ser Ql
43850-7	Coccidioides IgM Ser Ql IA
6077-2	Cocklebur IgE Qn
15646-3	Cocklebur IgE RAST Ql
7238-9	Cocklebur IgG Qn
6195-2	Cocksfoot IgE Qn
15746-1	Cocksfoot IgE RAST Ql
7365-0	Cocksfoot IgG Qn
10942-1	Cockspur IgE Qn
15851-9	Cockspur IgE RAST Ql
6080-6	Cocoa IgE Qn
15597-8	Cocoa IgE RAST Ql
39593-9	Coconut IgE/IgE total %
6081-4	Coconut IgE Qn
15649-7	Coconut IgE RAST Ql
7240-5	Coconut IgG Qn
21212-6	Coconut IgG RAST Ql
47516-0	COCV Ab Titr Ser
45121-1	COCV Ag Spec Ql CF
45122-9	COCV Ag Spec Ql IA
4199-6	Codeine Dose
29372-0	Codeine Gast-mCnc
26720-3	Codeine Hair-mCnt
29278-9	Codeine Mec Ql
3506-3	Codeine SerPl-mCnc
3505-5	Codeine SerPl Ql
15102-7	Codeine SerPl-sCnc
16250-3	Codeine Ur Cfm-mCnc
3507-1	Codeine Ur Ql
19411-8	Codeine Ur Ql Scn
39081-5	Codfish IgE/IgE total %
6082-2	Codfish IgE Qn
15650-5	Codfish IgE RAST Ql
56228-0	Codfish IgG4-mCnc
6721-5	Codfish IgG Qn
21213-4	Codfish IgG RAST Ql
6083-0	Coffee IgE Qn
15651-3	Coffee IgE RAST Ql
56229-8	Coffee IgG4-mCnc
86904-0	COHgb % BldA PulseOx
31157-1	COHgb Bld-mCnc
32160-4	COHgb Bld Ql Scn
20563-3	COHgb MFr Bld
2030-5	COHgb MFr BldA
2031-3	COHgb MFr BldC
41648-7	COHgb MFr BldMV
2032-1	COHgb MFr BldV
12397-6	Colchicine SerPl-mCnc
40706-4	Colchicine Ur-mCnc
202-2	Colistimethate Islt KB
201-4	Colistimethate Islt MIC
33333-6	Colistin Islt Grad strip
206-3	Colistin Islt KB
205-5	Colistin Islt MIC
204-8	Colistin Islt MLC
86221-9	Colistin res mcr-1 Islt/Spm Ql
93701-1	Colistin res mcr-2 Islt/Spm Ql
98066-4	Colistin res mcr-(3-5) Islt/Spm Ql
16645-4	Colistin SerPl-mCnc
18912-6	Colistin Susc Islt
207-1	Colistin Titr SBT
16647-0	Collagen Ab Ser-aCnc
12735-7	Collagen Ab Ur-aCnc
53052-7	Collagen CTx 24h Ur-mRate
48587-0	Collagen CTx/Creat Ur-Rto
41171-0	Collagen CTx SerPl-mCnc
48586-2	Collagen CTx Ur-mCnc
21216-7	Collagen NTx/Creat 24h Ur-sRto
14115-0	Collagen NTx/Creat Ur-sRto
21215-9	Collagen NTx Ser-sCnc
34271-7	Collagen NTx Ur-mCnc
27939-8	Collagen NTx Ur-sCnc
33882-2	Collect Date
41395-5	Collect Date Ur
47842-0	Collect duration Time Dial fld
30211-7	Collect duration Time Spec
13363-7	Collect duration Time Stl
13362-9	Collect duration Time Ur
29264-9	Collect Tme Bld
13358-7	Collect Tme Smn
38386-9	Color Amn
10335-8	Color CSF
51617-9	Color Dial fld
6824-7	Color Fld
14132-5	Color Gast
10569-2	Color Smn
14664-7	Color Snv
33512-5	Color Spec
9397-1	Color Stl
5778-6	Color Ur
6175-4	Common Millet IgE Qn
15849-3	Common Millet IgE RAST Ql
7494-8	Common Millet IgG Qn
7604-2	Common Pigweed IgE Qn
15936-8	Common Pigweed IgE RAST Ql
6085-5	Common Ragweed IgE Qn
15975-6	Common Ragweed IgE RAST Ql
7646-3	Common Ragweed IgG Qn
6855-1	Common Reed IgE Qn
15989-7	Common Reed IgE RAST Ql
56230-6	Common Reed IgG4-mCnc
15169-6	Comp C50 SerPl IA-aCnc
2269-9	Comp Fact B SerPl-mCnc
33667-7	Complexed PSA SerPl-mCnc
19817-6	Complications
25615-6	Conalb IgE Qn
25616-4	Conalb IgE RAST Ql
33930-9	Confirm aPTT StaClot
57838-5	Confirm dRVVT
59284-0	Consent
95355-4	Convl plasma Gvn Vol
5633-3	Copper 24h Ur-mRate
25879-8	Copper 24h Ur-sCnc
14666-2	Copper 24h Ur-sRate
47100-3	Copper Bld-sCnc
29942-0	Copper/Creat 24h Ur
25880-6	Copper/Creat Ur-sRto
57347-7	Copper Dial fld-mCnc
16648-8	Copper Fld-mCnc
47101-1	Copper Fld-sCnc
56126-6	Copper Liver-mCnt
5631-7	Copper SerPl-mCnc
14665-4	Copper SerPl-sCnc
5632-5	Copper Ur-mCnc
34273-3	Copper Ur-sCnc
9470-6	Copper Wat-mCnc
12186-3	COP Plas
47253-0	Copro1 24h Ur-mCnc
6877-5	Copro1 24h Ur-mRate
14667-0	Copro1 SerPl-sCnc
14670-4	Copro1 SFr Ur
9343-5	Copro1 Ur-mCnc
51417-4	Copro 24h SFr Ur
2135-2	Copro 24h Stl-mRate
15040-9	Copro 24h Stl-sRate
2137-8	Copro 24h Ur-mRate
23846-9	Copro3 24h Stl-mRate
6878-3	Copro3 24h Ur-mRate
40791-6	Copro3 24h Ur-sRate
45314-2	Copro3/Copro1 Ur-sRto
48306-5	Copro3/Creat Ur
14671-2	Copro3 SerPl-sCnc
14673-8	Copro3 Ur-sCnc
18257-6	Copro Bld-mCnc
32008-5	Copro/Creat 24h Ur-sRto
38162-4	Copro/Creat Ur
2138-6	COPROgen-oxidase Ser-cCnc
34402-8	Copro/Hgb RBC
29266-4	Copro Stl-sCnt
25167-8	Copro Ur-sCnc
6087-1	Corn IgE Qn
15653-9	Corn IgE RAST Ql
56231-4	Corn IgG4-mCnc
35534-7	Corn IgG-mCnc
6723-1	Corn IgG Qn
21221-7	Corn IgG RAST Ql
5099-7	Coronavirus Ab Ser-aCnc
55841-1	Corticoster 24h Ur-mCnc
55843-7	Corticoster 24h Ur-sCnc
2139-4	Corticoster SerPl-mCnc
25381-5	Corticoster SerPl-sCnc
48098-8	Cortis 12 AM SerPl-mCnc
45047-8	Cortis 12 AM SerPl-sCnc
48099-6	Cortis 12 PM SerPl-mCnc
45048-6	Cortis 12 PM SerPl-sCnc
46398-4	Cortis 1.5h p 1 ug/kg CRH IV SerPl-mCnc
1398-7	Cortis 1.5h p Ins IV SerPl-mCnc
46397-6	Cortis 15M p 1 ug/kg CRH IV SerPl-mCnc
16670-2	Cortis 15M p chal SerPl-mCnc
50752-5	Cortis 15M p Ins IV SerPl-mCnc
50424-1	Cortis 1h p 100 ug CRH IV SerPl-mCnc
1400-1	Cortis 1h p 1 ug/kg CRH IV SerPl-mCnc
24391-5	Cortis 1h p 250 ug ACTH IM SerPl-sCnc
1402-7	Cortis 1h p 250 ug ACTH rIV SerPl-mCnc
26536-3	Cortis 1h p ACTH SerPl-sCnc
12567-4	Cortis 1h p chal SerPl-mCnc
32311-3	Cortis 1h p chal SerPl-sCnc
1404-3	Cortis 1h p Ins IV SerPl-mCnc
1399-5	Cortis 1h p U/kg Ins IV SerPl-mCnc
50422-5	Cortis 20M p 100 ug CRH IV SerPl-mCnc
50442-3	Cortis 20M p Ins IV SerPl-mCnc
1407-6	Cortis 24h p 2 mg Dex SerPl-mCnc
20622-7	Cortis 24h Ur-mCnc
14158-0	Cortis 24h Ur-mRate
32310-5	Cortis 24h Ur-sRate
55472-5	Cortis 2.5h p chal SerPl-sCnc
46399-2	Cortis 2h p 1 ug/kg CRH IV SerPl-mCnc
32312-1	Cortis 2h p chal SerPl-sCnc
46403-2	Cortis 2h p Ins IV SerPl-mCnc
1415-9	Cortis 30M p 1 ug/kg CRH IV SerPl-mCnc
1417-5	Cortis 30M p 250 ug ACTH rIV SerPl-mCnc
12566-6	Cortis 30M p chal SerPl-mCnc
32313-9	Cortis 30M p chal SerPl-sCnc
1419-1	Cortis 30M p Ins IV SerPl-mCnc
50441-5	Cortis 30M pre Ins IV SerPl-mCnc
50433-2	Cortis 3 AM SerPl-mCnc
50430-8	Cortis 3 PM SerPl-mCnc
50423-3	Cortis 40M p 100 ug CRH IV SerPl-mCnc
1423-3	Cortis 45M p 1 ug/kg CRH IV SerPl-mCnc
1424-1	Cortis 45M p Ins IV SerPl-mCnc
45049-4	Cortis 4 PM SerPl-sCnc
50434-0	Cortis 6 AM SerPl-mCnc
50431-6	Cortis 6 PM SerPl-mCnc
45050-2	Cortis 8 AM SerPl-sCnc
1434-0	Cortis 8h p 1 mg Dex SerPl-mCnc
46416-4	Cortis 8h p 8 mg Dex SerPl-mCnc
45051-0	Cortis 8 PM SerPl-sCnc
50429-0	Cortis 9 AM SerPl-mCnc
50432-4	Cortis 9 PM SerPl-mCnc
9813-7	Cortis AM peak SerPl-mCnc
43215-3	Cortis BS SerPl-mCnc
32315-4	Cortis BS SerPl-sCnc
53346-3	Cortis DBS-sCnc
34909-2	Cortis F 24h Ur HPLC-mCnc
25883-0	Cortis F 24h Ur HPLC-sCnc
55845-2	Cortis F 24h Ur RIA-mCnc
55844-5	Cortis F 24h Ur RIA-mRate
25882-2	Cortis F 24h Ur RIA-sCnc
25884-8	Cortis F 24h Ur RIA-sRate
14676-1	Cortis F 24h Ur-sRate
16667-8	Cortis F 48h Ur-mRate
18365-7	Cortis F Sal-mCnc
2145-1	Cortis F SerPl-mCnc
15044-1	Cortis F SerPl-sCnc
30173-9	Cortis F Ur-sCnc
30072-3	Cortisone 24h Ur HPLC-mCnc
14044-2	Cortisone 24h Ur-mRate
14159-8	Cortisone SerPl-mCnc
25382-3	Cortisone SerPl-sCnc
47844-6	Cortis p 1 mg Dex SerPl-mCnc
50416-7	Cortis p 2 mg Dex SerPl-mCnc
47848-7	Cortis p 500 ug Dex SerPl-mCnc
44917-3	Cortis p Dex SerPl-sCnc
9812-9	Cortis PM SerPl-mCnc
50421-7	Cortis pre 100 ug CRH IV SerPl-mCnc
1445-6	Cortis pre 1 mg Dex SerPl-mCnc
24392-3	Cortis pre 1 mg Dex SerPl-sCnc
1443-1	Cortis pre 1 ug/kg CRH IV SerPl-mCnc
50415-9	Cortis pre 2 mg Dex SerPl-mCnc
1448-0	Cortis pre 500 ug Dex SerPl-mCnc
41407-8	Cortis Pre ACTH SerPl-mCnc
47608-5	Cortis Pre ACTH SerPl-sCnc
29358-9	Cortis pre chal SerPl-mCnc
44916-5	Cortis pre chal SerPl-sCnc
1451-4	Cortis pre Ins IV SerPl-mCnc
2142-8	Cortis Sal-mCnc
51844-9	Cortis Sal-sCnc
83088-5	Cortis SerPl IA-mCnc
83090-1	Cortis SerPl IA-sCnc
2143-6	Cortis SerPl-mCnc
14675-3	Cortis SerPl-sCnc
57690-0	Cortis sp10 Sal-mCnc
25618-0	Cortis sp1 p chal SerPl-sCnc
28045-3	Cortis sp1 Sal Ql
50453-0	Cortis sp1 SerPl-mCnc
12557-5	Cortis sp2 p chal SerPl-mCnc
25619-8	Cortis sp2 p chal SerPl-sCnc
50454-8	Cortis sp2 SerPl-mCnc
51492-7	Cortis sp3 p chal Sal-mCnc
25621-4	Cortis sp3 p chal SerPl-sCnc
57688-4	Cortis sp3 Sal-mCnc
50455-5	Cortis sp3 SerPl-mCnc
12559-1	Cortis sp4 p chal SerPl-mCnc
25622-2	Cortis sp4 p chal SerPl-sCnc
50456-3	Cortis sp4 SerPl-mCnc
51490-1	Cortis sp5 p chal Sal-mCnc
12560-9	Cortis sp5 p chal SerPl-mCnc
25623-0	Cortis sp5 p chal SerPl-sCnc
50457-1	Cortis sp5 SerPl-mCnc
25624-8	Cortis sp6 p chal SerPl-sCnc
50458-9	Cortis sp6 SerPl-mCnc
51489-3	Cortis sp7 p chal Sal-mCnc
12562-5	Cortis sp7 p chal SerPl-mCnc
25625-5	Cortis sp7 p chal SerPl-sCnc
57694-2	Cortis sp7 Sal-mCnc
50459-7	Cortis sp7 SerPl-mCnc
25627-1	Cortis sp8 p chal SerPl-sCnc
50460-5	Cortis sp8 SerPl-mCnc
25628-9	Cortis sp9 p chal SerPl-sCnc
2144-4	Cortis Ur-mCnc
15043-3	Cortis Ur-sCnc
92786-3	Corynebacterium DNA Bld Pos Ql NAA+probe
90066-2	Corynebacterium Islt Cult
24102-6	Corynebacterium Tox Spec Ql ID
40418-6	Cotinine Mec Ql
10365-5	Cotinine SerPl-mCnc
10366-3	Cotinine Ur-mCnc
19737-6	Cotton Fibers IgE Qn
15656-2	Cotton Fibers IgE RAST Ql
6089-7	Cottonseed IgE Qn
15658-8	Cottonseed IgE RAST Ql
7253-8	Cottonseed IgG Qn
21228-2	Cottonseed IgG RAST Ql
6090-5	Cottonwood IgE Qn
15659-6	Cottonwood IgE RAST Ql
13184-7	Cottonwood IgG Qn
94651-7	Country of trav
39551-7	Cow Dander IgE/IgE total %
6091-3	Cow Dander IgE Qn
15661-2	Cow Dander IgE RAST Ql
30087-1	Cow Hair+Dander IgE Qn
10940-5	Cow Milk Boiled IgE Qn
15847-7	Cow Milk Boiled IgE RAST Ql
7258-7	Cow Milk IgE Qn
25383-1	Cow Milk IgE RAST Ql
35539-6	Cow Milk IgG-mCnc
6729-8	Cow Milk IgG Qn
21230-8	Cow Milk IgG RAST Ql
7774-3	Cow Whey IgE Qn
16089-5	Cow Whey IgE RAST Ql
56419-5	Cow Whey IgG4-mCnc
41487-0	C parvum Ag Stl Ql IA
91677-5	C parvum Ag Stl Ql IA.rapid
94633-5	C parvum DNA Ct Spec Qn NAA+probe
41434-2	C parvum DNA Spec Ql NAA+probe
92688-1	C parvum+hominis DNA Stl Ql NAA+probe
40958-1	C parvum Stl
47584-8	C peptide 10M p Glc SerPl-sCnc
57645-4	C peptide 10M pre chal SerPl-sCnc
55920-3	C peptide 24h Ur-mCnc
27944-8	C peptide 24h Ur-mRate
25872-3	C peptide 24h Ur-sCnc
25358-3	C peptide 24h Ur-sRate
38425-5	C peptide 2.5h p chal SerPl-sCnc
13041-9	C peptide 2h p chal SerPl-mCnc
47588-9	C peptide 2h p Glc SerPl-sCnc
13038-5	C peptide 30M p chal SerPl-mCnc
38426-3	C peptide 3h p chal SerPl-sCnc
1986-9	C peptide SerPl-mCnc
14633-2	C peptide SerPl-sCnc
25568-7	C peptide sp10 p chal SerPl-sCnc
25569-5	C peptide sp11 p chal SerPl-sCnc
25570-3	C peptide sp12 p chal SerPl-sCnc
25574-5	C peptide sp1 p chal SerPl-sCnc
